title,published,text,link,og:site_name,og:url,site_description,name,url,scrape_time
Rusland lægger op til afstemning om annektering af ukrainske regioner,07.09.2039 00:00,"Rusland planlægger at afholde en folkeafstemning i de ukrainske regioner, som russiske tropper har besat, skriver Ritzau.Afstemningen skal handle om annektering af områderne. Altså om de fremover skal tilhøre Rusland.Folkeafstemningen skal ifølge Putins regeringsparti finde sted den 4. november. Hvis afstemningen falder ud til Ruslands fordel, vil de besatte områder ""vende hjem"" til Rusland, lyder det fra partisekretæren i Putins parti, Forenet Rusland.- Den russiske verden, der nu er splittet på grund af formelle grænser, vil igen være en helhed, siger Andrej Turtjak ifølge Ritzau på partiets hjemmeside.I går kom det frem, at Rusland udsatte en folkeafstemning i Kherson-regionen af hensyn til sikkerheden.",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
Mette Frederiksen støtter EU's forslag om prisloft på russisk gas,07.09.2022 18:51,"Tidligere i dag fremlagde EU-Kommissionens formand, Ursula von der Leyen, et forslag, der går ud på at sætte et prisloft på russisk gas.Og det er et forslag, Danmark vil bakke op om, siger statsminister Mette Frederiksen (S).- Det er vi positive over for, og det er vi helt generelt. Vi kigger EU-mæssigt både i forhold til de høje elpriser og de høje gaspriser. Normalvis er der konsensus i Europa om, at vi har behov for et velfungerende marked, men markedet er nu sat ud af kraft, siger statsministeren ifølge Ritzau.Derfor bakker Mette Frederiksen både op om et prisloft på russisk gas samt at gribe ind i markedsfunktioner, der gælder el.Et prisloft vil konkret sige, at EU-landene beslutter, hvor meget man maksimalt vil betale for russisk energi. Dermed bliver det i teorien EU - og ikke Rusland - som sætter prisen på gas.",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
Brite vipper Pernille Harder af tronen som verdens dyreste,07.09.2022 18:20,"Pernille Harder er ikke længere verdens dyreste kvindelige fodboldspiller.Den titel har den engelske midtbanespiller Keira Walsh overtaget, efter at hun onsdag er skiftet fra Manchester City til FC Barcelona.Ifølge britiske medier koster englænderen 350.000 pund - cirka tre millioner kroner - og det er over 850.000 kroner mere, end Pernille Harder kostede, da hun i 2020 blev verdens dyreste, da Chelsea købte danskeren i Wolfsburg.25-årige Keira Walsh har spillet for Manchester City i hele sin seniorkarriere, men skal altså nu en tur til Spanien.Hun har underskrevet en kontrakt, der løber frem til sommeren 2025.Skiftet er kommet i stand, efter at hun i sommer førte England frem til EM-guld. Hun blev blandt andet kåret som EM-finalens bedste spiller./ritzau/",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
Tysk politi efterforsker 44 sager omkring FCK's Champions League-kamp,07.09.2022 18:19,"Uroen i og omkring FC Københavns Champions League-kamp i går aftes mod tyske Dortmund bliver nu efterforsket af det tyske politi. Det oplyser politiet i Dortmund på deres hjemmeside.Helt præcist oplyser de, at der bliver efterforsket 44 sager af forskellig karakter. Af dem er 27 sager med fokus på, at der før og under kampen blev afbrændt og kastet med fyrværkeri.Det skete i både Dortmunds og FCK's fanafsnit, skriver politiet.Derudover er der 12 sager, som vedrører vold, der også bliver efterforsket. Desuden er der en enkelt sag om vold mod betjent samt en for hærværk.Ifølge politiet var det formodede Dortmund-fans, der forsøgte at trænge ind til FCK-fans før kampen, hvilket fik de danske fans til at kaste fyrværkeri den anden vej. Politiet vil nu se omfattende videomateriale igennem.",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
33-årig får 14 års fængsel for landsforræderi og terrorisme,07.09.2022 18:11,"En dommer i Københavns Byret har i dag givet den 33-årige Jacob el-Ali 14 års fængsel for at have arbejdet for terrororganisationen Islamist Stat. Det skriver Københavns Politi i en pressemeddelelse.Han er også dømt for landsforræderi. Den dømte har tidligere erkendt sig skyldig i det hele.Han var blandt andet tiltalt for flere overtrædelser af straffelovens terrorrelaterede bestemmelser begået fra april 2013 til maj 2017. I den periode deltog han blandt andet i kamphandlinger for IS og forsøgte at hverve en person til terrororganisation.- Når det både handler om terrorisme og landsforræderi, så er det uden tvivl en meget alvorlig sag. Den er kørt som en tilståelsessag, og det er første gang, at en dansk statsborger erkender at have tilsluttet sig og kæmpet for Islamisk Stat i Syrien, siger specialanklager Søren Harbo fra Københavns Politi. ",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
"Golfstater truer Netflix med sagsanlæg, hvis streamingtjenesten ikke fjerner ""stødende indhold""",07.09.2022 18:00,"Det kan blive en dyr affære for Netflix, hvis de fortsætter med at lade serier som 'Queer Eye' og 'Orange is the New Black' være tilgængelige på deres platform i golfstaterne Saudi-Arabien, De Forenede Arabiske Emirater, Qatar, Kuwait, Bahrain og Oman.For en fælles komité, der repræsenterer staterne, truer streaminggiganten med et sagsanlæg, hvis ikke de fjerner ""stødende indhold"".Det oplyser Esra Assery, der er direktør i komitéen, til Arab News.- Vi bruger et særligt inddelingssystem, samfundets standarder og særlige licenser for at afgøre, hvilken slags indhold der skal være tilladt, forklarer hun og uddyber:- (Det stødende indhold) truer islamiske og samfundsmæssige værdier og principper.Netflix har endnu ikke kommenteret på sagen.",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
Justitsministeriet har lavet fejl i sager om sikkerhedsgodkendelse,07.09.2022 17:48,"Der er blevet begået flere fejl i Justitsministeriets behandling af sager om sikkerhedsgodkendelse af ansatte i private virksomheder.Det oplyser Justitsministeriet på sin hjemmeside.Fejlene er sket i sager, hvor de ansatte har udført opgaver for ministeriets departement og skyldes, at Justitsministeriet ikke har behandlet sagerne som afgørelser i forvaltningslovens forstand.Det betyder, at nogle ansatte - måske - uberettiget kan have fået afslag på sikkerhedsgodkendelse.Det vides på nuværende tidspunkt ikke, hvor mange sager det drejer sig om.",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
"Uran vinder bjergetape, mens Mads P. holder fast i pointtrøjen",07.09.2022 17:18,"Den colombianske cykelrytter Rigoberto Urán (EF) tog onsdag sejren på 17. etape af Vuelta a Espana.Den 35-årige colombianer var stærkest på den afsluttende stigning efter godt 160 kilometer på de spanske landeveje.Uran satte på den sidste kilometer efter spanieren Jesús Herrada (Cofidis), der som den første accelererede med et kraftfuldt ryk op mod målstregen, men kræfterne slap op.Uran kæmpede sig forbi spanieren, mens franskmanden Quinton Pacher klemte sig ind foran Herrara og tog andenpladsen. Trioen var en del af et stort udbrud, som kom tidligt afsted på onsdagens etape.Den dobbelte etapevinder Mads Pedersen (Trek) kunne have sikret sig sejren i pointkonkurrence, men danskeren må vente lidt endnu.Den nærmeste konkurrent i kampen om den grønne pointtrøje, briten Fred Wright (Bahrain), kom nemlig med i dagens udbrud og har fortsat en matematisk chance for at fravriste Mads Pedersen pointtrøjen./ritzau/",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
"FN er i tvivl om, hvorvidt Irans atomprogram 'udelukkende er fredeligt'",07.09.2022 17:08,"Det Internationale Atomenergiagentur (IAEA) har kigget nærmere på Irans atomprogram, og ifølge en FN-rapport, så sætter den spørgsmålstegn ved formålet bag programmet. Det skriver AFP.IAEA siger, at agenturet ikke ""er i en position, hvor det kan give forsikringer om, at Irans atomprogram udelukkende er fredeligt"".Der blev lavet en omfattende atomaftale med Iran i 2015, der gik ud på, at iranerne skulle afvikle dele af atomprogrammet, så landet aldrig kunne bygge atomvåben. Men i 2018 kuldsejlede aftalen, da USA trak sig ud af den.I atomaftalen stod der, at Iran maksimalt måtte berige 300 kilo uran, men nu er landet ifølge FN-rapporten oppe på 3.940 kilo beriget uran. Beriget uran bliver blandt andet brugt til at lave atomvåben.",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
Psykiatrisk akutberedskab må udskyde døgnbemanding på grund af for lidt personale,07.09.2022 16:46,"Personer, der har akut brug for psykiatrisk hjælp i hverdagene om morgenen i hovedstadsområdet, må vente til efter klokken 16.00.For Region Hovedstaden har ikke haft helt til at finde tilstrækkeligt med psykiatere, der kan indgå i akutberedskabet. Selvom det ellers fra den 1. september skulle have været døgnbemandet.Det skriver mediet Dagens Medicin.- Vi arbejder fortsat på at finde løsninger, så vi kan bemande beredskabet. Så snart det lykkes, vil ordningen gå i drift, skriver regionen til Ritzau.Det psykiatriske beredskab opererer i øjeblikket i tidsrummet 16.00-08.00 - altså primært i aften- og nattetimerne. Derudover er der døgnbemanding i weekenderne.Beslutningen om at indføre døgnbemanding blev truffet i forbindelse med budgetaftalen for 2022, som blev indgået i september sidste år.",,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,07.09.2022 19:55
