title,published,text,link,og:site_name,og:url,site_description,name,url,scrape_time
Opsending af dansk satellit er blevet udskudt for tredje gang,03.04.2023 00:00,"28 sekunder inden, den skulle sendes ud i rummet, blev opsendelsen af den danskudviklede satellit Disco 1 udskudt for tredje gang.Det oplyser Christoffer Karoff, der er lektor ved Institut for Geoscience og Institut for Fysik og Astronomi ved Aarhus Universitet og leder af det Danske Studenter Satellit Program (Disco), til Ritzau.Det var vindforholdene, der fik den amerikanske rumfartsvirksomhed SpaceX, der er ansvarlig for opsendelsen, til at afblæse missionen i sidste øjeblik. De prøver igen på lørdag, fortæller Christoffer Karoff.Den danskudviklede satellit måler ti gange ti centimeter og vejer omkring et kilo. Den har en mikrocomputer med, som er udviklet til at lave maskinlæring.Det er studerende på fire danske universiteter, der har været med til at udvikle satellitten",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
"Der er kommet flere sommerhuse til salg, og de ligger i kortere tid",04.04.2023 00:00,"Landet over er der nu lidt mere end 4.000 fritidshuse på markedet. Det er knap seks procent flere end måneden før.Det viser nye tal fra Finans Danmark ifølge Ritzau.Trods flere sommerhuse med til-salg-skilte i forhaven, lader det stadig til, at der er købere til dem.Liggetiden på sommerhuse tog nemlig også et fald i marts sammenlignet med februar.- Årsagerne er flere - men set i forhold til før corona er udbuddet stadig ganske lavt, og der er samtidig stor interesse og mulighed for en ekstraindtægt ved udlejning af sommerhuse, skriver skatte- og boligøkonom i Dansk Industri Bo Sandberg i en kommentar til Ritzau.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
"Slår Kina af tronen: Indien er nu det mest folkerige land i verden, estimerer FN",14.04.2037 00:00,"Der er meget vel flere borgere i Indien end i noget andet land i verden.I hvert fald hvis FN's estimat holder stik.Ifølge flere medier har De Forende Nationer, der indsamler data om verdens befolkning, estimeret, at den 14. april 2023 ville blive dagen, hvor Kina ikke længere kan prale af at have flest borgere.Selvom det ikke kan siges med sikkerhed, om det allerede er sket, eller hvornår det præcist kommer til at ske, er det et spektakulært tronskifte. Kina har nemlig været det mest folkerige land, siden FN for begyndte sin dataindsamling af befolkninger i 1950.Indiens befolkning er ifølge Al Jazeera mere end firedoblet fra 350 millioner indbyggere i 1950 til anslået 1,43 milliarder mennesker i dag. I mellemtiden er Kinas befolkning, som toppede med 1,42 milliarder i 2021, gradvist faldende.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Landets kommuner har en ambitiøs og unik klimaplan – men firkantede regler spænder ben,14.04.2023 07:55,Landets kommuner har en 'ambitiøs og unik' klimaplan – men firkantede regler spænder ben,https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
"Nordkorea har affyret endnu et missil, der kan vække ekstrem rædsel hos fjenden",14.04.2023 07:43,"Endnu engang melder Nordkorea ud, at de har affyret et testmissil.Typen skal være Hwasong-18, der er et interkontinentalt ballistisk missil, skriver statsmedier i landet ifølge nyhedsbureauet Reuters.Landets leder, Kim Jong-un, advarer om, at missiltesten vil få fjender til at ""opleve en sikkerhedskrise og konstant vække ekstrem uro og rædsel i dem"".I går affyrede Nordkora et andet missil, som den japanske regering frygtede ville ramme nær landets næststørste ø, Hokkaido.Nordkorea har testet flere missiler den seneste tid. Her er det  et billede fra den seneste, den 14. april. (Foto: © KCNA, Ritzau Scanpix)",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Konservativ tv-præst skal genvinde borgmesterkæde på Frederiksberg,14.04.2023 07:42,"Michael Brautsch bliver konservativ borgmesterkandidat på Frederiksberg, og det bliver dermed ham, der skal gøre den københavnske bydel ""grøn"" igen.I aftes valgte den konservative vælgerforening ham som kandidat til borgmesterposten frem mod kommunalvalget i 2025.Det oplyser formanden for vælgerforeningen, Flemming Brank, til TV 2 Kosmopol. Partiet skriver det desuden på Facebook.- Vi skal have posten tilbage. Det er det, det handler om, og det kan lade sig gøre, hvis vi rykker sammen, siger Brank til mediet.Michael Brautsch arbejder som præst på Frederiksberg. Han er især kendt for sin medvirken i DR-programmet 'Gift ved første blik', hvor han optræder som ekspert.Indtil kommunalvalget i 2021 havde de konservative siddet på borgmesterposten på Frederiksberg i 112 år. Daværende borgmester Simon Aggesen måtte sig dog se sig slået af Socialdemokratiet.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Ekspert peger på Holger Rune som favorit mod verdens måske mest formstærke spiller,14.04.2023 07:15,Ekspert peger på Holger Rune som favorit mod verdens måske mest formstærke spiller,https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Fredag byder på sol mod vest og gråvejr mod øst,14.04.2023 07:14,"Dagen starter med tørt vejr og lidt sol i store dele af landet, men i løbet af dagen vil en front bevæge sig mod Danmark fra øst.Det vil langsomt give flere skyer på himlen i de østlige egne og senere på dagen regn, mens den vestlige del af landet får nogen eller en del sol.Som aftentimerne skrider frem, vil regnen have nået frem mod de nordøstlige dele af Jylland.Temperaturerne svinger fra 7-13 grader, hvor det vil blive lunest vest for Lillebælt, og vinden vil være svag til frisk fra sydøst og nordøst.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Lars Eller med to oplæg og et brændt straffeslag i NHL-sejr,14.04.2023 07:12,"Natten til fredag bragte den danske ishockeyspiller Lars Ellers sig selv i fokus på både den gode og mindre gode måde.For sit hold, Colorado Avalanche, leverede danskeren således to assister i opgøret mod Winnipeg Jets i NHL og var dermed i høj grad med til at sikre mandskabet en sejr på 4-2.Det kunne dog være blevet til endnu mere for Eller selv, der i tredje periode fik muligheden for selv at komme på tavlen, da han skulle omsætte et straffeslag.Det misbrugte danskeren, og så måtte han tage til takke med sine to oplæg til henholdsvis schweizeren Denis Malgin, der gjorde det til 1-0, samt finnen Artturi Lehkonen, der reelt lukkede kampen til 4-1.I alt var Lars Eller på isen i små 17 minutter, og han kan udover sejren glæde sig over, at han allerede har vist målnæsen frem for Avalanche. Således har Eller noteret sig for tre scoringer for holdet, siden han i marts skiftede fra Washington Capitals.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Florida forbyder abort efter sjette graviditetsuge: Voldtægt og incest er undtaget,14.04.2023 07:05,"Guvernøren i Florida, republikanske Ron DeSantis, har nu underskrevet det lovforslag, der vil forbyde abort i den amerikanske delstat efter sjette graviditetsuge.Det skriver NBC News.Graviditeter som følge af voldtægt og incest vil dog være undtaget den nye grænse.Underskriften blev offentliggjort via en pressemeddelelse kort efter klokken 23 torsdag lokal tid.- Vi er stolte af at støtte retten til liv og familie i staten Florida, oplyser guvernøren i en erklæring.Meddelelsen kommer, ganske få timer efter at Repræsentanternes Hus i Florida, hvor republikanerne har flertal, torsdag godkendte lovforslaget.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Bytteordning nedbringer ventetid på operationer – hver fredag opererer Viborg-kirurg i Randers,14.04.2023 06:50,Bytteordning nedbringer ventetid på operationer – hver fredag opererer Viborg-kirurg i Randers,https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Tjek kontoen: Overskydende skat bliver udbetalt i dag,14.04.2023 06:13,"Det er fredag, det er forår, og for millioner af skattepligtige borgere kan dagen i dag også komme til at føles som en ekstra lønningsdag.3,8 millioner af os vågner nemlig op til en overførsel med grønne cifre fra Skat på kontoen.Skattestyrelsen oplyser ifølge Ritzau, at der i alt ryger 25,5 milliarder kroner tilbage til danskerne i overskydende skat.Det svarer til, at der i gennemsnit bliver tilbagebetalt 6650 kroner til hver af dem, der er berettigede til det.Modsat skal 800.000 borgere betale restskat på sammenlagt 6,4 milliarder kroner, da de har betalt for lidt i skat i løbet af året.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
"Mange psykologer har klienter, der gamer så meget, at det er en lidelse",14.04.2023 06:00,"Mange psykologer har klienter, der gamer så meget, at det er en lidelse",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Montana kan blive første delstat til at forbyde TikTok,14.04.2023 05:30,"Den amerikanske delstat Montana er tæt på at kunne indføre et totalt forbud mod appen TikTok.I går stemte delstatens republikansk-ledede underhus med et stort flertal for at forbyde den populære app, der ejes af det kinesiske selskab ByteDance.Det skriver nyhedsbureauet AP.Forslaget skal med stor sandsynlighed igennem en sidste afstemning fredag. Hvis der igen er flertal her, skal det en tur forbi guvernør Greg Gianforte, der skal sætte sin underskrift.Hvis loven vedtages, bliver Montana den første delstat til at forbyde appen. Loven vil i så fald træde i kraft fra 2024, beretter Ritzau.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Mexicanske myndigheder finder over 200 migranter efter skrig fra lastbil,14.04.2023 05:13,"I den mexicanske kystby Veracruz fik lokale myndigheder nys om, at noget var på færde, da de pludselig hørte skrig fra en efterladt lastbil.I lastbilen befandt sig 209 migranter - 25 af dem var uledsagede mindreårige.Det oplyser landets migrationsmyndighed, INM, ifølge Ritzau.Lastbilen blev fundet onsdag. Den var efterladt på en vej, der forbinder byerne Villahermosa og Coatzacoalcos.I en erklæring oplyser de mexicanske myndigheder, at de fleste af migranterne er fra Guatemala, mens nogle er fra Honduras, El Salvador og Ecuador.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
Florida stemmer for at forbyde abort efter sjette uge,15.04.2023 23:55,"Repræsentanternes Hus i den amerikanske delstat Florida, hvor Republikanerne har flertal, har torsdag vedtaget et lovforslag, der forbyder abort efter sjette graviditetsuge.Det skriver nyhedsbureauet Reuters.Delstaten, der hidtil har tilladt aborter indtil udgangen af den 15. graviditetsuge, står med lovændringen til at få en af USA's strengeste abortlovgivninger ifølge New York Times.Kun i tilfælde af voldtægt, incest eller hvis morens liv er i fare som følge af graviditeten, kan der gøres undtagelser.Lovforslaget blev vedtaget med stemmerne 70 mod 40 og mangler nu kun en underskrift fra delstatens guvernør Ron DeSantis.",https://www.dr.dk,DR,https://www.dr.dk/nyheder,"DR nyheder - Hold dig opdateret. Få de seneste nyheder fra Danmark og udlandet. Læs om de største sager, Kultur, Politik, Viden & Sport her",DR,https://www.dr.dk/nyheder,14.04.2023 07:16
